company_std,year_std,Company_Name,Sector,Industry,Ticker_Symbol,Year,Report_Type,Data_Source,ESG_Score_Composite,ESG_Rating_Grade,ESG_Percentile_Rank,Env_Score_Raw,Social_Score_Raw,Governance_Score_Raw,Data_Completeness_Pct,RI_Rating,RI_Numeric,Sust_Rating,Sust_Numeric,ROA,ROE,Log_Assets,Leverage,Net_Margin,ROA_Pct,ROE_Pct,Net_Income_NGN_m,Revenue_NGN_m,Total_Assets_NGN_m,Total_Equity_NGN_m,Total_Debt_NGN_m,EBITDA_NGN_m,Market_Cap_NGN_m,GHG_Scope1_tCO2e,GHG_Scope2_tCO2e,GHG_Scope3_tCO2e,GHG_Intensity,Energy_Consumed_GJ,Renewable_Energy_Pct,Water_Consumed_m3,Waste_Total_Tonnes,Waste_Recycled_Pct,Total_Employees,Female_Employees_Pct,Female_Board_Pct,Independent_Dir_Pct,Board_Size,Board_Meetings_pa,CEO_Chair_Separation,Anti_Corruption_Policy,GRI_Reporting,IFRS_S1_S2_Aligned,renewable_energy_flag,env_policy_flag,carbon_audit_flag,gri_302_flag,gri_305_flag,financial_inclusion_flag,gender_award_flag,ungc_signatory,nsbp_signatory,human_rights_policy_flag,board_eval_flag,sustainability_assurance,code_of_conduct_flag,anti_corruption_flag,data_privacy_flag,iso_certified
Dangote Sugar,2020,Dangote Sugar Refinery Plc,Consumer Goods,Food & Beverage (Sugar Refining),DANGSUGAR,2020,Sustainability Report,DangoteSugarSR_2020.pdf,46.18,B,64.7,50.2,26.11,58.22,70.2,Good,4,,,10.71,23.88,12.5354929,0.009454926,13.9,10.71,23.88,29775.24,214297.75,278032.39,124711.71,1179.14,55405.98,213785.06,,,,,,,,,,2881,3.81,22.22,11.11,9,5,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1
Dangote Sugar,2021,Dangote Sugar Refinery Plc,Consumer Goods,Sugar Refining,DANSUGAR,2021,Annual Report,DangoteSugar_2021.pdf,60.9,A,84.6,68.96,43.07,68.22,78.9,Good,4,,,6.13,17.14,12.79248551,0.007653589,7.99,6.13,17.14,22052.29,276054.78,359505.77,128631.15,984.49,48504,,322485,0,,368,5545086,,2316526,478.83,,2956,3,22.22,11.11,9,5,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
Dangote Sugar,2022,Dangote Sugar Refinery Plc,Consumer Goods,Sugar Refining,DANGSUGAR,2022,Sustainability Report,DangoteSugarSR_2022.pdf,60.95,A,85.1,70.8,42.34,67.51,80.7,Good,4,,,11.12,31.97,13.10711572,0.004527829,13.58,11.12,31.97,54742.134,403245.988,492434,171226,775.282,95457,194957.3,627574,27419,,,8594880,,6467950,711,,9041,9.7,13.3,11.1,15,5,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Dangote Sugar,2023,Dangote Sugar Refinery Plc,Consumer Goods,Sugar Refining,DANSUGAR,2023,Annual Report,DangoteSugar_2023.pdf,69.83,A,95,80,46.15,79.96,78.9,Good,4,,,-12.28,-93.08,13.30600061,0.006707776,-16.71,-12.28,-93.08,-73760.308,441452.953,600789.925,79245.785,531.563,75309,,550200,0,,0.5502,6777387,38.2,137301600,563,,2956,,40,10,10,6,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1
Dangote Sugar,2024,Dangote Sugar Refinery Plc,Consumer Goods,Sugar Refining,DANSUGAR,2024,Annual Report,DangoteSugar_2024.pdf,77.01,A,100,87.04,64.67,78.73,75.4,Good,4,,,-18.33,-90.77,13.86509346,0.689456654,-28.1327,-18.33,-90.77,-192616.8,665689.8,1050832.7,212227.7,146321.8,42982,,219772,2061,,393.09,4973205,19,2171448,405,,2978,,36.4,18.2,11,5,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1
Ecobank,2020,Ecobank Transnational Incorporated,Banking & Finance,Commercial Banking,,2020,Annual Report,Ecobank_2020.pdf,47.25,B,67.6,42.86,53.82,45.62,63.2,,,,,0.4,0.3,,,,0.4,0.3,,,,,,,,,,,,,,,,,14023,46,28.6,35.7,14,6,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
Ecobank,2021,Ecobank Transnational Incorporated,Banking & Finance,Commercial Banking,ETI,2021,Annual Report,Ecobank_2021.pdf,43.33,C,59.8,28.57,48.89,50.23,64.9,,,,,1.3,11.3,17.53740617,,20.34,1.3,11.3,536049,2635071,41342689.5,3246459,,,215210,,,,,,,,,,13167,37,28.6,35.7,14,5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0
Ecobank,2022,Ecobank Transnational Incorporated,Banking & Finance,Commercial Banking,ETI,2022,Annual Report,Ecobank_2022.pdf,38.95,C,51.9,24.07,44.44,46,64.9,,,,,1.26,18.09,17.58841524,1.124013389,19.69,1.26,18.09,550036.5,2792695.5,43506253.5,3040522.5,3417588,,,,,,,,,,,,13175,,28.57,35.71,14,7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Ecobank,2023,Ecobank Transnational Incorporated,Banking & Finance,Commercial Banking,ETI,2023,Annual Report,Ecobank_2023.pdf,47.8,B,69.3,26.76,51.24,61,66.7,,,,,1.49,23.46,17.52530103,1.296997039,19.71,1.49,23.46,610384.5,3095499,40845247.5,2601682.5,3374374.5,,850500,,,,,,,,,,14982,,28.6,35.7,14,7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
Ecobank,2024,Ecobank Transnational Incorporated,Banking & Finance,Commercial Banking,ETI,2024,Annual Report,Ecobank_2024.pdf,57.27,B,81.7,59.81,62.5,51.44,63.2,,,,,1.77,27.51,17.55157789,11.37818248,23.63,1.77,27.51,740445,3133677,41932758,2692203,30632377,,670500,,,,,,,,,,14560,,28.6,42.9,14,7,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
Eterna,2020,Eterna Plc,Oil & Gas,Downstream Oil & Gas,ETERNA,2020,Annual Report,EternaPlc_2020.pdf,23.52,D,26.1,14.29,11.19,39.69,63.2,Below Average,2,,,2.63,7.05,10.4847965,0.936349238,1.6,2.63,7.05,941.042,58715.576,35767.556,13348.921,12499.252,2264.251,,,,,,,,,,,82,,25,12.5,8,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Eterna,2021,Eterna Plc,Oil & Gas,Oil and Gas Downstream,,2021,Annual Report,EternaPlc_2021.pdf,23.5,D,25.7,14.29,11.13,39.68,63.2,Below Average,2,,,-2.39,-9.08,10.73818421,1.742586707,-1.34,-2.39,-9.08,-1100.132,82197.987,46082.3,12118.333,21117.246,1699.844,,,,,,,,,,,92,,25,25,8,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Eterna,2022,Eterna Plc,Oil & Gas,Downstream Oil Marketing,ETERNA,2022,Annual Report,EternaPlc_2022.pdf,22.01,D,21.2,14.29,20.02,29.29,64.9,Below Average,2,,,1.875,7.71,10.89657305,2.074785935,0.869,1.875,7.71,1012.252,116472.441,53991.022,13130.584,27243.151,3047.765,,,,,,,,,,,92,,25,25,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Eterna,2023,Eterna Plc,Oil & Gas,Downstream Oil & Gas,ETERNA,2023,Annual Report,EternaPlc_2023.pdf,21.89,D,20.3,14.29,20.14,28.92,64.9,Below Average,2,,,-15.82,-231.932,10.9960868,12.34488056,-5.15,-15.82,-269.41,-9433.11,183282.14,59640.3,3501.85,43229.92,7947.4,,,,,,,,,,,85,,25,12.5,8,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eterna,2024,Eterna Plc,Oil & Gas,Oil & Gas,,2024,Annual Report,EternaPlc_2024.pdf,13.05,F,2.9,0,11.11,24.29,63.2,Below Average,2,,,2,27.8,11.11873852,11.00397897,0.43,2,27.8,1348.6,313615.9,67422.8,4850.5,53374.8,28945.5,,,,,,,,,,,145,,25,25,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FCMB Group,2020,FCMB Group Plc,Banking & Finance,Financial Holding Company,FCMB,2020,Annual Report,FCMBBank_2020.pdf,33.82,C,45.2,14.29,40.03,43.8,68.4,Below Average,2,,,0.95,8.65,14.53743638,0.704408495,9.83,0.95,8.65,19610.45,199439.13,2058393.49,226740.65,159718.04,,,,,,,,,,,,3610,39,20,,10,5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1
FCMB Group,2021,FCMB Group Plc,Banking & Finance,Commercial Banking,FCMB,2021,Annual Report,FCMBBank_2021.pdf,39.77,C,53.9,42.86,29.78,44.95,66.7,Below Average,2,,,0.84,8.6,14.72907663,0.98344288,9.87,0.84,8.6,20916.73,212012.45,2493197.63,243224.66,239197.56,,,,,,,,,,,,3362,40.8,27.3,0,11,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
FCMB Group,2022,FCMB Group Plc,Banking & Finance,Financial Holding Company,FCMB,2022,Annual Report,FCMBBank_2022.pdf,44.22,C,61.4,42.86,38.02,49.9,64.9,Below Average,2,,,1.04,11.29,14.90845768,3.220118261,11,1.04,11.29,31128.69,282981.56,2983052.56,275879.61,888364.97,46145.99,,,,,,,,,,,3342,42.6,40,20,10,5,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
FCMB Group,2023,FCMB Group Plc,Banking & Finance,Financial Holding Company,FCMB,2023,Annual Report,FCMBBank_2023.pdf,43.36,C,60.2,28.57,37.59,58.79,64.9,Below Average,2,,,2.1,20.1,15.302531,0.295017267,18,2.1,20.1,93017.619,516355.14,4423894.628,462626.558,136482.823,115605.621,,,,,,,,,,,3554,41.2,30,20,10,5,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1
FCMB Group,2024,FCMB Group Plc,Banking & Finance,Financial Holding Company,FCMB,2024,Annual Report,FCMBBank_2024.pdf,50.91,B,73.9,28.57,61.63,59.62,66.7,Below Average,2,,,1.04,10.66,15.76912891,0.522925761,9.23,1.04,10.66,73337.47,794430.08,7054165.92,688170.4,359862.03,125965.63,,,,,,,,,,,3796,42,40,20,10,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1
