company_std,year_std,Company_Name,Sector,Industry,Ticker_Symbol,Year,Report_Type,Data_Source,ESG_Score_Composite,ESG_Rating_Grade,ESG_Percentile_Rank,Env_Score_Raw,Social_Score_Raw,Governance_Score_Raw,Data_Completeness_Pct,RI_Rating,RI_Numeric,Sust_Rating,Sust_Numeric,ROA,ROE,Log_Assets,Leverage,Net_Margin,ROA_Pct,ROE_Pct,Net_Income_NGN_m,Revenue_NGN_m,Total_Assets_NGN_m,Total_Equity_NGN_m,Total_Debt_NGN_m,EBITDA_NGN_m,Market_Cap_NGN_m,GHG_Scope1_tCO2e,GHG_Scope2_tCO2e,GHG_Scope3_tCO2e,GHG_Intensity,Energy_Consumed_GJ,Renewable_Energy_Pct,Water_Consumed_m3,Waste_Total_Tonnes,Waste_Recycled_Pct,Total_Employees,Female_Employees_Pct,Female_Board_Pct,Independent_Dir_Pct,Board_Size,Board_Meetings_pa,CEO_Chair_Separation,Anti_Corruption_Policy,GRI_Reporting,IFRS_S1_S2_Aligned,renewable_energy_flag,env_policy_flag,carbon_audit_flag,gri_302_flag,gri_305_flag,financial_inclusion_flag,gender_award_flag,ungc_signatory,nsbp_signatory,human_rights_policy_flag,board_eval_flag,sustainability_assurance,code_of_conduct_flag,anti_corruption_flag,data_privacy_flag,iso_certified
Flour Mills of Nigeria,2020,Flour Mills of Nigeria Plc,Consumer Goods,Food Processing,,2020,Annual Report,FMNplc_2020.pdf,37.42,C,49.8,14.29,41.34,51.83,66.7,Good,4,,,2.63,7.3,12.97723087,0.709603635,1.98,2.63,7.3,11376.74,573774.36,432453.84,155807.77,110561.76,55359.58,87133.37,,,,,,,,,,5027,,7.14,14.29,14,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Flour Mills of Nigeria,2021,Flour Mills of Nigeria Plc,Consumer Goods,Food and Agro-Allied,FMN,2021,Annual Report,FMNplc_2021.pdf,43.46,C,61,14.29,46.72,62.91,64.9,Good,4,,,4.72,14.73,13.2080507,0.759841427,3.33,4.72,14.73,25716.923,771607.88,544732.813,174613.95,132678.913,76170.682,118091.347,,,,,,,,,,5083,,12.5,25,16,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Flour Mills of Nigeria,2022,Flour Mills of Nigeria Plc,Consumer Goods,Food Processing,FMN,2022,Annual Report,FMNplc_2022.pdf,30.59,C,39.6,0,22.26,59.79,63.2,Good,4,,,4.2,14.3,13.41056303,0.83084011,2.41,4.2,14.3,28015.226,1163802.851,667011.809,195904.691,162765.475,111213.398,127317.234,,,,,,,,,,5190,,20,33.33,15,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
Flour Mills of Nigeria,2023,Flour Mills of Nigeria Plc,Consumer Goods,Food Processing,FMN,2023,Annual Report,FMNplc_2023.pdf,21.56,D,19.5,12.61,11.14,36.1,64.9,Good,4,,,2.69,13.1,13.90845101,1.698293941,1.92,2.69,13.1,29504.285,1539654.788,1097396.39,225224.887,382498.061,118131.395,,,,,,,,,,35,5919,,18.75,31.25,16,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flour Mills of Nigeria,2024,Flour Mills of Nigeria Plc,Consumer Goods,Food Processing,FMN,2024,Annual Report,FMNplc_2024.pdf,29.02,D,36.5,12.64,30.02,40.56,66.7,Good,4,,,0.24,1.52,14.21595626,1.703038103,0.15,0.24,1.52,3544.753,2291561.452,1492489.749,233650.447,397915.614,,159915.366,,,,,,,,,46,5404,,20,33.33,15,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geregu Power,2021,Geregu Power Plc,Industrial Goods,Electric Power Generation,,2021,Annual Report,Geregupowerplc_2021.pdf,9.41,F,0.4,0,0,23.53,56.1,Below Average,2,,,17.3524,34.29,11.6511324,0.154838695,28.96,17.9,34.29,20550.411,70956.864,114821.313,59938.635,9280.82,34141.258,,,,,,,,,,,128,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geregu Power,2022,Geregu Power Plc,Industrial Goods,Electric Power Generation,GEREGU,2022,Annual Report,Geregupowerplc_2022.pdf,32.17,C,43.2,14.29,20.07,54.66,64.9,Below Average,2,,,5.84,20.72,12.06698528,1.538889569,21.36,5.84,20.72,10171.45,47619.37,174030.4,49103.27,75564.51,17383.01,,,,,,,,,,,130,,11.11,55.56,9,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Geregu Power,2023,Geregu Power Plc,Industrial Goods,Electric Power Generation,GEREGU,2023,Annual Report,Geregupowerplc_2023.pdf,19.74,D,12.4,0,20.1,34.27,64.9,Below Average,2,,,8.82,35.55,12.11199572,1.409274143,19.36,8.82,35.55,16052.728,82908.807,182042.548,45153.908,63634.235,33482.395,,,,,,,,,,,129,,9.09,45.45,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geregu Power,2024,Geregu Power Plc,Industrial Goods,Electric Power Generation,GEREGU,2024,Annual Report,Geregupowerplc_2024.pdf,20.11,D,13.7,0,20.05,35.23,64.9,Below Average,2,,,11.27,52.17,12.40275074,1.25217122,20,11.27,52.17,27425.07,137126.53,243470.42,52564.92,65820.28,47920.86,2875000,,,,,,,,,,138,,10,60,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinness Nigeria,2020,Guinness Nigeria Plc,Consumer Goods,Brewery,GUINNESS,2020,Annual Report,GuinnessNigeriaplc_2020.pdf,32.9,C,44,0,34.42,56.43,64.9,Good,4,,,-8.73,-17.22,11.87857905,0.316416943,-12.05,-8.73,-17.22,-12578.818,104376.015,144145.581,73038.14,23110.505,-1668.086,,,,,,,,,,,822,25.5,30.77,46.15,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Guinness Nigeria,2021,Guinness Nigeria Plc,Consumer Goods,Brewing,GUINNESS,2021,Annual Report,GuinnessNigeriaplc_2021.pdf,40.34,C,54.8,25,22.22,65.43,64.9,Good,4,,,0.74,1.69,12.04005658,0.215289815,0.78,0.74,1.69,1255.338,160416.257,169406.525,74286.575,15993.143,17987.965,,,,,,,,,,4000,835,,23.08,46.15,13,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Guinness Nigeria,2022,Guinness Nigeria Plc,Consumer Goods,Beverage/Alcohol,,2022,Annual Report,GuinnessNigeriaplc_2022.pdf,36.56,C,48.1,12.09,34.96,56.1,66.7,Good,4,,,7.26,17.4,12.2814593,0.347960755,7.57,7.26,17.4,15651.4,206822.1,215660.2,89979.4,31309.3,32343.9,,,,,,,,,17000,,791,28.3,33.3,50,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Guinness Nigeria,2023,Guinness Nigeria Plc,Consumer Goods,Beverage,GUINNESS,2023,Annual Report,GuinnessNigeriaplc_2023.pdf,38.79,C,51.5,5.19,45.69,58.83,68.4,Good,4,,,-7.52,-32.2,12.39565172,1.129931225,-7.92,-7.52,-32.2,-18168.04,229440.86,241748.14,56424.62,63755.94,32770.26,,,,,,,,,,,791,32,41.7,50,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Guinness Nigeria,2024,Guinness Nigeria Plc,Consumer Goods,Beverages,GUINNESS,2024,Annual Report,GuinnessNigeriaplc_2024.pdf,30.81,C,41.1,0,26.39,57.22,64.9,Good,4,,,-24.22,-231.932,12.32886569,14.11497173,-18.29,-24.22,-2533.62,-54766.78,299489.77,226130.08,2161.47,40132.9,35387.35,,,,,,,,,,,801,35,36.36,45.45,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Honeywell Flour Mills,2020,Honeywell Flour Mills Plc,Consumer Goods,Food Processing,HONYFLOUR,2020,Annual Report,Honeywellplc_2020.pdf,20.72,D,17,0,12.02,42.77,64.9,,,,,0.457,1.135,11.86542073,1.017599145,0.808,0.457,1.135,650.492,80450.397,142261.292,57285.793,58293.974,9381.685,7771.59,,,,,,,,,,819,,9.09,27.27,11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Honeywell Flour Mills,2021,Honeywell Flour Mills Plc,Consumer Goods,Flour Milling,,2021,Annual Report,Honeywellplc_2021.pdf,20.58,D,16.2,0,11.23,43.01,63.2,,,,,0.7638,1.942,11.900869,1.043404733,1.027,0.7638,1.942,1125.864,109594.73,147394.656,57968.678,60484.793,9240.725,9357.63,,,,,,,,,,832,,10,30,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Honeywell Flour Mills,2022,Honeywell Flour Mills Plc,Consumer Goods,Food Products,HONYFLOUR,2022,Annual Report,Honeywellplc_2022.pdf,20.2,D,14.5,0,11.12,42.15,63.2,,,,,-0.66,-1.74,11.91751792,1.095670775,-0.72,-0.66,-1.74,-983.812,136427.507,149869.159,56429.751,61828.429,5223.78,,,,,,,,,,,818,,12.5,12.5,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Honeywell Flour Mills,2023,Honeywell Flour Mills Plc,Consumer Goods,Food Processing / Flour Milling,HONYFLOUR,2023,Annual Report,Honeywellplc_2023.pdf,19,D,10,0,20,32.49,64.9,,,,,0.155,0.777,12.01370061,2.31784759,0.174,0.155,0.777,256.113,147350.739,164999.977,32976.289,76434.012,6430.299,,,,,,,,,,,735,,12.5,12.5,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeywell Flour Mills,2024,Honeywell Flour Mills Plc,Consumer Goods,Food Manufacturing,HONYFLOUR,2024,Annual Report,Honeywellplc_2024.pdf,16.88,D,5.4,0,12.5,32.84,61.4,,,,,-6.79,-44.27,11.91147302,1.506213787,-5.37,-6.79,-44.27,-10119.778,188311.035,148965.948,22856.511,34426.792,34276.077,30927.77,,,,,,,,,,461,,22.2,11.1,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Breweries,2020,International Breweries Plc,Consumer Goods,Brewing,,2020,Annual Report,Intlbrew_2020.pdf,19.51,D,10.8,0,11.71,40,59.6,Good,4,,,-3.32,-8.15,12.82838528,0.729348421,-9.04,-3.32,-8.15,-12365.082,136790.573,372646.406,151733.857,110666.849,8744.736,,,,,,,,,,,2082,,12.5,,16,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
International Breweries,2021,International Breweries Plc,Consumer Goods,Brewing,INTBREW,2021,Annual Report,Intlbrew_2021.pdf,26.53,D,32,0,22.48,49.46,61.4,Good,4,,,-3.76,-13.05,13.06038843,1.365354595,-9.68,-3.76,-13.05,-17656.51,182298.045,469953.215,135303.901,184737.803,,,,,,,,,,,,1929,,20,,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
International Breweries,2022,International Breweries Plc,Consumer Goods,Breweries,,2022,Annual Report,Intlbrew_2022.pdf,26.02,D,29.9,0,22.5,48.16,63.2,Good,4,,,-4.47,-18.43,13.09036017,1.654167611,-9.89,-4.47,-18.43,-21626.29,218650.267,484251.74,117330.433,194084.202,16114.87,,,,,,,,,,,1533,,18.18,9.09,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
International Breweries,2023,International Breweries Plc,Consumer Goods,Brewing,INTBREW,2023,Annual Report,Intlbrew_2023.pdf,30.59,C,39.6,14.29,23.8,47.91,64.9,Good,4,,,-9.66,-60.68,13.49323353,3.243644235,-26.87,-9.66,-60.68,-70025.91,260598.23,724497.46,115407.04,374339.38,,,,,,,,,,,,1553,21,21.4,7.1,14,5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
International Breweries,2024,International Breweries Plc,Consumer Goods,Brewing/Alcoholic Beverages,INTBREW,2024,Annual Report,Intlbrew_2024.pdf,29.05,D,36.9,0,22.42,55.81,61.4,Good,4,,,-15.61,-25.31,13.4978809,0,-23.24,-15.61,-25.31,-113614.9,488955.68,727872.3,448914.08,0,,,,,,,,,,,,1021,,25,16.7,12,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Jaiz Bank,2020,Jaiz Bank Plc,Banking & Finance,Non-Interest Banking,,2020,Annual Report,JaizBank_2020.pdf,48.08,B,70.5,42.86,54.28,47.36,64.9,Fair,3,,,1.24,16.27,12.36134918,10.66613263,14.8,1.24,16.27,2903.21,19613.94,233596.18,17845.05,190337.67,4152.95,,,,,,,,,,,609,24,6.67,13.33,15,6,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
Jaiz Bank,2021,Jaiz Bank Plc,Banking & Finance,Non-Interest (Islamic) Banking,JAIZBANK,2021,Annual Report,JaizBank_2021.pdf,47.64,B,68.5,25.07,57.16,57.42,66.7,Fair,3,,,1.54,17.69,12.53995432,5.28376185,16.64,1.54,17.69,4299.23,25843.36,279275.58,24305.17,128422.73,5673.56,,,,,,,,,,22,735,27,6.25,12.5,16,6,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
Jaiz Bank,2022,Jaiz Bank Plc,Banking & Finance,Non-Interest Banking,JAIZBANK,2022,Annual Report,JaizBank_2022.pdf,43.09,C,58.9,28.57,44.62,52.84,64.9,Fair,3,,,1.81,23.09,12.84745131,10.87243833,20.58,1.81,23.09,6881.28,33429.28,379819.46,29804.8,324050.85,9982.15,30050.82,,,,,,,,,,821,25.8,6.7,13.3,15,7,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
Jaiz Bank,2023,Jaiz Bank Plc,Banking & Finance,Commercial Banking,,2023,Annual Report,JaizBank_2023.pdf,33.18,C,44.8,22.28,38.57,37.32,66.7,Fair,3,,,1.94,28.59,13.27100932,11.86753284,23.79,1.94,28.59,11237.187,47237.207,580131.058,39314.928,466571.199,14054.99,67009.87,,,,,,,,3.9285,20.73,846,27,7.7,15.38,13,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaiz Bank,2024,Jaiz Bank Plc,Banking & Finance,Commercial Banking,JAIZBANK,2024,Annual Report,JaizBank_2024.pdf,37.91,C,50.2,14.29,40.82,53.45,68.4,Fair,3,,,2.17,32.86,13.89316301,12.66043814,28.34,2.17,32.86,23484.25,82874.82,1080746.98,71465.77,904787.96,26394.68,,,,,,,,,,,878,28.02,18.2,16.67,12,6,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
Julius Berger Nigeria,2020,Julius Berger Nigeria Plc,Industrial Goods,Civil Engineering and Construction,JBERGER,2020,Annual Report,JuliusBerger_2020.pdf,26.79,D,33.2,14.29,18.92,42.08,64.9,Below Average,2,,,2.21,16.2,12.70363744,0.603272094,3.01,2.21,16.2,7281.85,241779.455,328942.235,44947.602,27115.634,11192.573,,,,,,,,,,,12217,,15.38,7.69,13,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Julius Berger Nigeria,2021,Julius Berger Nigeria Plc,Industrial Goods,Civil Engineering and Construction,JBERGER,2021,Annual Report,JuliusBerger_2021.pdf,29.1,D,37.6,14.29,18.9,47.85,64.9,Below Average,2,,,1.85,16.67,13.07577174,0.466364532,2.61,1.85,16.67,8852.129,338806.798,477238.546,53112.774,24769.914,24351.924,,,,,,,,,,,13354,,15.38,7.69,13,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Julius Berger Nigeria,2022,Julius Berger Nigeria Plc,Industrial Goods,Construction,JBERGER,2022,Annual Report,JuliusBerger_2022.pdf,14.94,F,4.1,0,18.34,23.6,64.9,Below Average,2,,,,13.86,,,1.79,,13.86,7907.741,440981.644,,57061.727,,,39200,,,,,,,,,,14043,,14.29,21.43,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Berger Nigeria,2023,Julius Berger Nigeria Plc,Industrial Goods,Construction,JBERGER,2023,Annual Report,JuliusBerger_2023.pdf,36.7,C,49,14.29,49.4,43.99,64.9,Below Average,2,,,1.83,11.79,13.44000519,0.042010533,2.83,1.83,11.79,12552.665,443439.239,686942.03,106468.156,4472.784,31665.081,68800,,,,,,,,,,11716,,14.29,21.43,14,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Julius Berger Nigeria,2024,Julius Berger Nigeria Plc,Industrial Goods,Civil Engineering & Construction,JULBERGER,2024,Annual Report,JuliusBerger_2024.pdf,34.53,C,46.1,28.57,27.61,44.18,64.9,Below Average,2,,,1.52,4.48,13.83828416,0.164000084,2.74,1.52,4.48,15506.8,566705.5,1023034.9,345779.7,56707.9,26888.6,248400,,,,,,,,,,9419,,15.4,23.1,13,7,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Lafarge Africa,2020,Lafarge Africa Plc,Industrial Goods,Cement Manufacturing,,2020,Annual Report,Lafargeplc_2020.pdf,40.55,C,55.2,28.57,23.61,62.23,63.2,Below Average,2,,,6.08,8.58,13.13668823,0.138285611,13.38,6.08,8.58,30842.138,230572.922,507213.975,359638.502,49732.83,75462.413,,,,,,,,,,,1379,,45.5,27.3,11,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Lafarge Africa,2021,Lafarge Africa Plc,Industrial Goods,Cement Manufacturing,LAFARGEAFR,2021,Annual Report,Lafargeplc_2021.pdf,18.85,D,9.5,0,13.18,37.23,61.4,Below Average,2,,,9.68,13.47,13.17464876,0.061515366,17.4,9.68,13.47,51003.5,293086.2,526838.2,378560.7,23287.3,97764.5,,,,,,,,,,,1351,,41.7,33.3,12,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lafarge Africa,2022,Lafarge Africa Plc,Industrial Goods,Cement Manufacturing,WAPCO,2022,Annual Report,Lafargeplc_2022.pdf,22.09,D,22,0,11.62,46.52,61.4,Below Average,2,,,8.93,12.89,13.30587002,0.087942018,14.37,8.93,12.89,53647.456,373244.938,600711.473,416102.005,36592.85,84193.893,,,,,,,,,,,1343,,33.33,25,12,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lafarge Africa,2023,Lafarge Africa Plc,Industrial Goods,Cement Manufacturing,WAPCO,2023,Annual Report,Lafargeplc_2023.pdf,49.89,B,72.2,39.85,45.03,61.07,68.4,Below Average,2,,,7.51,11.76,13.43186306,0.060325019,12.61,7.51,11.76,51141.07,405502.712,681371.572,435051.865,26244.512,102023.321,,,,,570,,13.7,,122940,100,1467,,45.45,27.27,11,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Lafarge Africa,2024,Lafarge Africa Plc,Industrial Goods,Cement Manufacturing,WAPCO,2024,Annual Report,Lafargeplc_2024.pdf,50.39,B,73,41.11,44.92,61.45,66.7,Below Average,2,,,10.11,19.85,13.80597482,0.007008607,14.37,10.11,19.85,100145.281,696757.959,990509.585,504640.661,3536.828,193005.216,,,,,537,,,,169299,100,1455,,45.45,27.27,11,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
MRS Oil Nigeria,2020,MRS Oil Nigeria Plc,Oil & Gas,Downstream Petroleum Marketing,MRS,2020,Annual Report,MRS_2020.pdf,34.07,C,45.6,25,30,43.93,66.7,Below Average,2,,,-6.18,-13.44,10.5094167,0.083777868,-5.39,-6.18,-13.44,-2264.14,41981.44,36659.09,16843.47,1411.11,-160.11,,,,,,,,,,,99,,28.6,14.3,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
MRS Oil Nigeria,2021,MRS Oil Nigeria Plc,Oil & Gas,Downstream Petroleum Marketing,MRS,2021,Annual Report,MRS_2021.pdf,23.22,D,24.9,0,22.22,41.38,61.4,Below Average,2,,,0.91,1.98,10.52420691,0.082120512,0.47,0.91,1.98,339.873,71976.255,37205.315,17183.344,1411.105,1288.02,,,,,,,,,,,91,,28.6,14.3,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
MRS Oil Nigeria,2022,MRS Oil Nigeria Plc,Oil & Gas,Petroleum Products Marketing and Distribution,MRSOIL,2022,Annual Report,MRS_2022.pdf,31.73,C,42.7,11.64,22.22,53.93,64.9,Below Average,2,,,3.25,7.11,10.60970184,0.07627823,1.31,3.25,7.11,1316.102,100779.88,40526.114,18499.446,1411.105,,,,,,,,,,,,88,,28.57,14.29,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
MRS Oil Nigeria,2023,MRS Oil Nigeria Plc,Oil & Gas,Petroleum Product Marketing,MRS,2023,Annual Report,MRS_2023.pdf,32.83,C,43.6,14.29,22.22,54.7,63.2,Below Average,2,,,7.39,17.91,10.9120163,0.062407485,2.22,7.39,17.91,4048.76,182310.96,54831.29,22611.23,1411.11,6848.43,,,,,,,,,,,80,,28.6,14.3,7,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
MRS Oil Nigeria,2024,MRS Oil Nigeria Plc,Oil & Gas,Petroleum Marketing,MRS,2024,Annual Report,MRS_2024.pdf,38.65,C,51,28.57,22.22,58.54,63.2,Below Average,2,,,6.14,22.95,11.56905217,0,2.08,6.14,22.95,6496.92,312229.52,105773.17,28309.05,0,11124.41,,,,,,,,,,,75,,28.57,14.29,7,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
MTN Nigeria,2020,MTN Nigeria Communications Plc,Telecoms & Technology,Telecommunications,MTNN,2020,Sustainability Report,MTNNGSR_2020.pdf,67.57,A,91.7,62.5,59.74,77.24,70.2,Good,4,,,10.45,115.04,14.49026105,2.921473658,15.24,10.45,115.04,205214,1346400,1963543,178386,521150,660650,,,,,,,,,,,1856,33.08,18.75,12.5,16,16,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1
MTN Nigeria,2021,MTN Nigeria Communications Plc,Telecoms & Technology,Telecommunications,MTNN,2021,Sustainability Report,MTNNGSR_2021.pdf,68.71,A,93.8,69.82,52.39,80.13,75.4,Good,4,,,13.22,112.71,14.63067845,1.861491956,18.1,13.22,112.71,298700,1650000,2259555,264981,493260,877100,,65899.36,44195.56,1647307,,1176233.9,,,,,1705,33.67,21,25,16,8,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1
MTN Nigeria,2022,MTN Nigeria Communications Plc,Telecoms & Technology,Telecommunications,MTNN,2022,Sustainability Report,MTNNGSR_2022.pdf,75.11,A,99.2,72.62,64.2,85.15,78.9,Good,4,,,13.21,119.5,14.81467077,2.054542692,17.84,13.21,119.5,358877,2012272,2716000,335682,689673,1070365,,55698,26835,,,922072.39,0.03,,,,1682,35.55,20,26.7,15,8,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
MTN Nigeria,2023,MTN Nigeria Communications PLC,Telecoms & Technology,Telecommunications,MTNN,2023,Annual Report,MTNNG_2023.pdf,72.23,A,96.3,77.4,61.12,76.69,70.2,Good,4,,,-4.3,200.6575,14.9751637,-6.939558863,-5.55,-4.3,335.5,-137020,2468847,3188827,-40844,1177169,1202530,,,98716,,,970987,,,,,1824,38.7,20,26.7,15,12,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1
MTN Nigeria,2024,MTN Nigeria Communications Plc,Telecoms & Technology,Telecommunications,MTNN,2024,Sustainability Report,MTNNGSR_2024.pdf,73.15,A,97.5,63.93,63.06,87.63,82.5,Good,4,,,-9.54,,15.2498784,-2.124236092,-11.92,-9.54,,-400435,3334900,4196991,-458007,972915,1313397,,55066,46234,295402,,1004651,0.06,4701000,307.8,8.42,1847,41.4,21.4,21.4,14,15,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
Mutual Benefits Assurance,2020,Mutual Benefits Assurance Plc,Banking & Finance,General and Life Insurance,,2020,Annual Report,MBENEFIT_2020.pdf,20.32,D,15.4,0,16.52,38.4,64.9,,,,,6.17,21.88,11.32502124,0.166566908,25.57,6.17,21.88,5109.209,19983.843,82869.407,23354.759,3890.13,5274.428,,,,,,,,,,,164,36,10,30,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mutual Benefits Assurance,2021,Mutual Benefits Assurance Plc,Banking & Finance,General Insurance and Life Assurance,MUTUAL,2021,Annual Report,MBENEFIT_2021.pdf,20.89,D,17.8,0,18.96,38.01,63.2,,,,,-6.47,-29.46,11.33595369,0.127021021,-18.52,-6.47,-29.46,-5424.71,29299.247,83780.343,18409.008,2338.331,,,,,,,,,,,,656,39,11.1,22.2,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mutual Benefits Assurance,2022,Mutual Benefits Assurance Plc,Banking & Finance,Insurance,,2022,Annual Report,MBENEFIT_2022.pdf,22.07,D,21.6,0,17.28,42.22,64.9,,,,,3.38,14.69,11.43984808,0.018753178,9.38,3.38,14.69,3141.35,33481.3,92952.89,21376.11,400.87,,,,,,,,,,,,1306,40,9.09,18.18,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mutual Benefits Assurance,2023,Mutual Benefits Assurance Plc,Banking & Finance,Insurance,MUTUALBENEFITS,2023,Annual Report,MBENEFIT_2023.pdf,26.13,D,31.1,0,24.87,46.68,66.7,,,,,5.33,21.35,11.61239643,0.014535456,14.75,5.33,21.35,5888.59,39921.85,110458.64,27578.77,400.87,6645.51,,,,,,,,,,,342,40,16.7,75,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mutual Benefits Assurance,2024,Mutual Benefits Assurance Plc,Banking & Finance,Non-Life and Life Insurance,MUTUAL,2024,Annual Report,MBENEFIT_2024.pdf,22.61,D,22.8,0,24.83,37.89,66.7,,,,,7.69,22.52,11.89909575,0.007974111,16.91,7.69,22.52,11317.893,66916.138,147133.519,50271.433,400.87,,,,,,,,,,,,342,40,18.18,27.27,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nascon Allied Industries,2020,NASCON Allied Industries Plc,Consumer Goods,Food Manufacturing,NASCON,2020,Annual Report,NasconAllied_2020.pdf,52.45,B,75.9,55.55,42.22,57.79,70.2,Good,4,,,6.07,21.15,10.69894289,0.28359057,9.61,6.07,21.15,2690.31,28010.059,44308.991,12719.82,3607.221,6363.819,38416.856,,,,,,,25086,,,593,14.3,40,10,10,7,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
Nascon Allied Industries,2021,NASCON Allied Industries Plc,Consumer Goods,Food Products,NASCON,2021,Annual Report,NasconAllied_2021.pdf,65.53,A,90.5,74.99,48.8,70.98,80.7,Good,4,,,7.33,20.31,10.60958546,0.002636241,8.93,7.33,20.31,2970.982,33279.688,40521.398,14630.68,38.57,5049.641,34972.59,19915,302,,20.42,136763,,26259,389,,581,10,40,10,10,4,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1
Nascon Allied Industries,2022,Nascon Allied Industries Plc,Consumer Goods,Salt and Seasoning Processing,NASCON,2022,Integrated Report,NasconAllied_2022.pdf,73.07,A,97.1,83.32,51.87,81.28,78.9,Good,4,,,9.85,28.72,10.92469256,0.253721044,9.3,9.85,28.72,5469.25,58786.25,55530.77,19042.37,4831.45,11744.04,,27490,524,,20.06,146507,,16452,282,,590,10,40,10,10,7,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1
